_id,code,name,name_with_type,parent_code,path,path_with_type,slug,type
6580ea829fadc6b60cb85919,00001,Phúc Xá,Phường Phúc Xá,001,"Phúc Xá, Ba Đình, Hà Nội","Phường Phúc Xá, Quận Ba Đình, Thành phố Hà Nội",phuc-xa,phuong
6580ea829fadc6b60cb8591a,00004,Trúc Bạch,Phường Trúc Bạch,001,"Trúc Bạch, Ba Đình, Hà Nội","Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội",truc-bach,phuong
6580ea829fadc6b60cb8591b,00006,Vĩnh Phúc,Phường Vĩnh Phúc,001,"Vĩnh Phúc, Ba Đình, Hà Nội","Phường Vĩnh Phúc, Quận Ba Đình, Thành phố Hà Nội",vinh-phuc,phuong
6580ea829fadc6b60cb8591c,00007,Cống Vị,Phường Cống Vị,001,"Cống Vị, Ba Đình, Hà Nội","Phường Cống Vị, Quận Ba Đình, Thành phố Hà Nội",cong-vi,phuong
6580ea829fadc6b60cb8591d,00008,Liễu Giai,Phường Liễu Giai,001,"Liễu Giai, Ba Đình, Hà Nội","Phường Liễu Giai, Quận Ba Đình, Thành phố Hà Nội",lieu-giai,phuong
6580ea829fadc6b60cb8591e,00010,Nguyễn Trung Trực,Phường Nguyễn Trung Trực,001,"Nguyễn Trung Trực, Ba Đình, Hà Nội","Phường Nguyễn Trung Trực, Quận Ba Đình, Thành phố Hà Nội",nguyen-trung-truc,phuong
6580ea829fadc6b60cb8591f,00013,Quán Thánh,Phường Quán Thánh,001,"Quán Thánh, Ba Đình, Hà Nội","Phường Quán Thánh, Quận Ba Đình, Thành phố Hà Nội",quan-thanh,phuong
6580ea829fadc6b60cb85920,00016,Ngọc Hà,Phường Ngọc Hà,001,"Ngọc Hà, Ba Đình, Hà Nội","Phường Ngọc Hà, Quận Ba Đình, Thành phố Hà Nội",ngoc-ha,phuong
6580ea829fadc6b60cb85921,00019,Điện Biên,Phường Điện Biên,001,"Điện Biên, Ba Đình, Hà Nội","Phường Điện Biên, Quận Ba Đình, Thành phố Hà Nội",dien-bien,phuong
6580ea829fadc6b60cb85922,00022,Đội Cấn,Phường Đội Cấn,001,"Đội Cấn, Ba Đình, Hà Nội","Phường Đội Cấn, Quận Ba Đình, Thành phố Hà Nội",doi-can,phuong
